fight_id,event_date,weight_class,A_id,B_id,label,d_pf_win_pct,d_pf_win_pct_last5,d_pf_win_streak,d_pf_total_fights,d_pf_days_since_last,d_pf_fights_last_365d,d_car_sig_str_acc,d_car_sig_str_att_pervol,d_car_td_acc,d_car_td_att_pervol,d_car_str_def,d_car_td_def,d_car_str_def_qadj,d_car_td_def_qadj,d_car_ctrl_sec,d_car_kd,d_car_sub_att,d_trend_sig_str_acc,d_trend_td_acc,d_trend_td_attempts,d_trend_sig_output,d_trend_damage_absorbed,d_trend_winpct,d_pf_ko_losses,d_pf_sub_losses,d_pf_dec_losses,d_pf_fights_since_ko_loss,d_pf_fights_since_finish_loss,d_pf_ever_ko_loss,d_pf_ever_finish_loss,d_pf_career_damage_absorbed,d_pf_damage_absorbed_per_fight,d_pf_pct_reach_r3,d_pf_late_win_rate,d_pf_avg_fight_duration,d_pf_elo,d_pf_sos_avg_opp_elo,d_pf_sos_opp_elo_last5,d_age_at_fight,d_reach_use,d_height_in,stance_A,stance_B,stance_mismatch,A_total_fights,B_total_fights,A_is_debut,B_is_debut
cd6452a463ec8a28,2024-03-23,Heavyweight,e13abac8089a801a,d35f734c56a89103,0,-0.5,-0.4,-1.0,6,-119.0,1.0,0.06818125510987788,-66.25,-0.391304347826087,-11.25,-0.11331359677350161,0.0,-0.09388133151482164,0.03128446161892351,-350.875,0.0,0.0,0.036696714161093325,,0.25,5.399999999999999,-0.2749999999999986,-0.09999999999999998,1.0,0.0,2.0,,,1,1,151.0,-11.125,-0.75,-1.0,-157.625,-10.250531776249318,46.926692428385195,47.83882336308534,-3.934291581108827,-5.0,-3.0,Southpaw,Orthodox,1,8,2,False,False
31fc4d5d5d1a6126,1996-05-17,Open Weight,de3ed2e152520c8d,d3711d3784b76255,1,,,-1.0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,-21.15002255569084,,,,-6.331535731477217,-6.0,Orthodox,Orthodox,0,1,0,False,True
518fec4812ed1587,2007-06-23,Lightweight,daf1b84aebd6602b,d3de4a24f7eefac8,1,,,3.0,3,,3.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,56.62286749482428,,,-2.6064339493497606,-0.6897186572655443,0.0,Orthodox,Orthodox,0,3,0,False,True
e7081f3a0a982f9d,2014-07-06,Heavyweight,e7fe5315b1efeb92,d3df1add9d9a7efb,0,,,-1.0,-1,,-1.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,-20.0,,,-1.3032169746748785,-1.9787456112572386,0.0,Orthodox,Orthodox,0,0,1,True,False
cd96998e837b0da1,2017-06-10,Heavyweight,eef9b891edbd4604,d3df1add9d9a7efb,1,-0.31818181818181823,-0.6,-8.0,3,-13.0,-1.0,-0.1063934848073887,15.954545454545453,0.20512820512820512,-0.16233766233766223,-0.024588595484117848,0.14529914529914534,-0.01362335672427284,0.16451004402038738,0.18181818181818699,0.3896103896103896,0.07142857142857142,-0.003980951166481395,,0.6376623376623378,14.014285714285716,10.301298701298702,0.28181818181818175,2.0,1.0,0.0,-6.0,-6.0,0,0,396.0,26.298701298701296,0.2272727272727273,-0.12987012987012986,3.1883116883116713,-72.52818069129762,36.13268674209826,25.439927541279758,10.880219028062974,-7.0,-5.0,Orthodox,Orthodox,0,14,11,False,False
e9700d51ec2b940b,2018-11-03,Heavyweight,d967f0128c323de6,d3df1add9d9a7efb,1,0.033333333333333326,0.0,-1.0,-3,91.0,-1.0,-0.005015868213528174,45.48333333333334,0.1765389082462253,2.0166666666666666,0.08405940736963147,0.14857142857142858,0.12051564632290457,0.19854482828074393,195.51666666666668,-0.16666666666666666,0.5833333333333334,-0.06916350238970148,-0.257804526097209,1.6166666666666665,21.833333333333332,-29.099999999999994,0.033333333333333326,-3.0,0.0,1.0,,,-1,-1,156.0,18.5,0.19999999999999996,0.09999999999999998,32.69999999999999,49.8341188400866,97.57871108934569,103.97332210884406,5.8891170431211535,-7.0,-4.0,Orthodox,Orthodox,0,12,15,False,False
cefb47bcc04f540e,2020-02-08,Heavyweight,d3df1add9d9a7efb,e9a3aeb207578eea,1,0.13888888888888884,0.19999999999999996,3.0,6,-84.0,1.0,0.0930790499205364,9.0,-0.05555555555555558,-1.6666666666666667,-0.11225651702275319,-0.4696969696969697,-0.11038627345797242,-0.47496143949170655,-17.0,-0.055555555555555525,-0.25,0.10186528180459437,0.06474519632414366,0.7333333333333332,13.98888888888889,9.805555555555557,-0.061111111111111116,1.0,1.0,-2.0,1.0,1.0,0,0,123.0,-0.8055555555555571,0.1111111111111111,0.22222222222222224,0.38888888888888573,90.2235992248934,14.748995071396621,43.75128842998561,-2.5325119780971974,6.0,5.0,Orthodox,Orthodox,0,18,12,False,False
b12bc15f384ecc42,2021-02-20,Heavyweight,d3df1add9d9a7efb,fa6796c55d6c5440,1,0.0,-0.20000000000000007,-1.0,8,-49.0,0.0,-0.02600089162088659,-19.81666666666667,-0.28737300435413643,-7.533333333333334,-0.12548849326964828,0.1936936936936936,-0.13329617999133975,0.19791635324978363,-295.9166666666667,0.21666666666666667,0.0,0.08080793741016462,-0.15676075945617723,1.2666666666666668,-2.299999999999997,1.8833333333333329,0.20000000000000007,2.0,1.0,0.0,-1.0,-1.0,0,0,185.0,1.9166666666666679,0.033333333333333326,-0.016666666666666663,7.666666666666657,15.914787788429294,-9.62510411809808,9.716042279448857,6.028747433264886,-1.0,-1.0,Orthodox,Orthodox,0,20,12,False,False
52f87252af59e23b,2022-07-30,Heavyweight,f14cf73e51b29254,d3df1add9d9a7efb,1,0.04166666666666663,0.15000000000000002,4.0,-20,-35.0,-2.0,-0.0061511423550087985,-11.916666666666664,-0.28125,-0.8333333333333333,0.050017110835436585,0.11538461538461542,0.043972287865226445,0.10840481575096961,-54.5,0.4166666666666667,0.0,0.0661031929051068,0.14732142857142855,0.06666666666666665,-4.199999999999999,-8.85833333333333,-0.10833333333333339,-5.0,-1.0,0.0,3.0,3.0,0,0,-513.0,-10.541666666666668,-0.4166666666666667,-0.3333333333333333,-11.75,-101.69238922333489,-25.889315409336177,-67.67279737992794,-7.260780287474333,5.0,0.0,Southpaw,Orthodox,1,4,24,False,False
caeeb398f73d213a,2023-02-04,Heavyweight,e2f6b2769aaedd6c,d3df1add9d9a7efb,1,-0.01333333333333342,0.4,4.0,-16,-7.0,0.0,0.0034965034965035446,17.79555555555556,0.35511363636363635,2.3866666666666667,0.14086058137968738,0.14871794871794863,0.1300822677960331,0.13395375066946902,141.63555555555553,-0.32,0.2222222222222222,-0.07303448747219615,-0.017435383244206848,0.18666666666666654,-10.955555555555554,-16.53333333333333,-0.41333333333333344,-5.0,-1.0,1.0,2.0,2.0,0,0,-352.0,2.133333333333333,-0.06666666666666671,-0.0977777777777778,32.05777777777777,-60.92143319476486,-44.036105197250436,-70.32870504355355,-9.960301163586585,-1.0,0.0,Orthodox,Orthodox,0,9,25,False,False
