event_name,event_url,fight_url,fighter_names,fighter_ids,winner,result_raw,method,round,time,weight_class,totals,per_round_breakdown
UFC Fight Night: Machida vs. Anders,http://ufcstats.com/event-details/7cf20446453f852b,http://ufcstats.com/fight-details/1fd5bf36c42ff1a2,Deiveson Figueiredo | Joseph Morales,aa72b0f831d0bfe5 | 2fe9032955c2e013,Deiveson Figueiredo,win,KO/TKO,2,4:34,Flyweight,"{""rows"": [{""Fighter"": [""Deiveson Figueiredo"", ""Joseph Morales""], ""KD"": [""1"", ""0""], ""Sig. str."": [""31 of 62"", ""9 of 32""], ""Sig. str. %"": [""50%"", ""28%""], ""Total str."": [""44 of 76"", ""11 of 35""], ""Td"": [""2 of 2"", ""0 of 1""], ""Td %"": [""100%"", ""0%""], ""Sub. att"": [""1"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""6:03"", ""0:00""]}], ""fighters"": [""Deiveson Figueiredo"", ""Joseph Morales""]}",Per round RD1 13 of 23 - 56% 2 of 10 - 20% RD2 18 of 39 - 46% 7 of 22 - 31% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/3a94bf34e62ae5fd,Jacare Souza | Derek Brunson,7a703c565ccaa18f | b1a3e0aca758b322,Jacare Souza,win,KO/TKO,1,3:50,Middleweight,"{""rows"": [{""Fighter"": [""Jacare Souza"", ""Derek Brunson""], ""KD"": [""1"", ""0""], ""Sig. str."": [""9 of 21"", ""8 of 34""], ""Sig. str. %"": [""42%"", ""23%""], ""Total str."": [""9 of 21"", ""8 of 34""], ""Td"": [""0 of 1"", ""0 of 0""], ""Td %"": [""0%"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:04"", ""0:00""]}], ""fighters"": [""Jacare Souza"", ""Derek Brunson""]}",Per round RD1 9 of 21 - 42% 8 of 34 - 23% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/27901ef9e82d5690,Dennis Bermudez | Andre Fili,6f242453c91a5af0 | 8fd808923cffff82,Andre Fili,win,Decision - Split,3,5:00,Featherweight,"{""rows"": [{""Fighter"": [""Dennis Bermudez"", ""Andre Fili""], ""KD"": [""0"", ""0""], ""Sig. str."": [""103 of 196"", ""80 of 229""], ""Sig. str. %"": [""52%"", ""34%""], ""Total str."": [""133 of 227"", ""93 of 242""], ""Td"": [""1 of 11"", ""4 of 12""], ""Td %"": [""9%"", ""33%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""3:12"", ""0:50""]}], ""fighters"": [""Dennis Bermudez"", ""Andre Fili""]}",Per round RD1 35 of 66 - 53% 28 of 70 - 40% RD2 27 of 48 - 56% 23 of 59 - 38% RD3 41 of 82 - 50% 29 of 100 - 29% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/d571486369996a39,Jordan Rinaldi | Gregor Gillespie,c07efc18b231f170 | 84ff027394f7e470,Gregor Gillespie,win,KO/TKO,1,4:46,Lightweight,"{""rows"": [{""Fighter"": [""Jordan Rinaldi"", ""Gregor Gillespie""], ""KD"": [""0"", ""0""], ""Sig. str."": [""7 of 16"", ""34 of 55""], ""Sig. str. %"": [""43%"", ""61%""], ""Total str."": [""7 of 16"", ""42 of 63""], ""Td"": [""0 of 0"", ""1 of 2""], ""Td %"": [""---"", ""50%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:00"", ""3:42""]}], ""fighters"": [""Jordan Rinaldi"", ""Gregor Gillespie""]}",Per round RD1 7 of 16 - 43% 34 of 55 - 61% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/f23e2bed86b62462,Drew Dober | Frank Camacho,519e4fe37ce9ff75 | 764342d39cdaa54a,Drew Dober,win,Decision - Unanimous,3,5:00,Welterweight,"{""rows"": [{""Fighter"": [""Drew Dober"", ""Frank Camacho""], ""KD"": [""0"", ""0""], ""Sig. str."": [""145 of 322"", ""106 of 223""], ""Sig. str. %"": [""45%"", ""47%""], ""Total str."": [""161 of 338"", ""148 of 269""], ""Td"": [""0 of 6"", ""3 of 3""], ""Td %"": [""0%"", ""100%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""1""], ""Ctrl"": [""0:26"", ""3:04""]}], ""fighters"": [""Drew Dober"", ""Frank Camacho""]}",Per round RD1 30 of 70 - 42% 17 of 41 - 41% RD2 67 of 134 - 50% 37 of 79 - 46% RD3 48 of 118 - 40% 52 of 103 - 50% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/04a1c5b7993fe4d5,Erik Koch | King Green,99bd87a300079ed9 | 887961364be5ceb3,King Green,win,Decision - Unanimous,3,5:00,Lightweight,"{""rows"": [{""Fighter"": [""Erik Koch"", ""King Green""], ""KD"": [""0"", ""0""], ""Sig. str."": [""56 of 146"", ""110 of 194""], ""Sig. str. %"": [""38%"", ""56%""], ""Total str."": [""60 of 150"", ""134 of 220""], ""Td"": [""1 of 1"", ""1 of 5""], ""Td %"": [""100%"", ""20%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""1"", ""1""], ""Ctrl"": [""1:57"", ""3:16""]}], ""fighters"": [""Erik Koch"", ""King Green""]}",Per round RD1 22 of 45 - 48% 27 of 40 - 67% RD2 25 of 72 - 34% 34 of 77 - 44% RD3 9 of 29 - 31% 49 of 77 - 63% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/b8648b32caf36c5a,Mirsad Bektic | Godofredo Pepey,cbd3e590a85b18c5 | fa37628269132d1a,Mirsad Bektic,win,KO/TKO,1,2:47,Featherweight,"{""rows"": [{""Fighter"": [""Mirsad Bektic"", ""Godofredo Pepey""], ""KD"": [""1"", ""0""], ""Sig. str."": [""12 of 33"", ""5 of 17""], ""Sig. str. %"": [""36%"", ""29%""], ""Total str."": [""12 of 34"", ""5 of 17""], ""Td"": [""0 of 0"", ""0 of 0""], ""Td %"": [""---"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:04"", ""0:00""]}], ""fighters"": [""Mirsad Bektic"", ""Godofredo Pepey""]}",Per round RD1 12 of 33 - 36% 5 of 17 - 29% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/c5f0c83e303d80bf,Katlyn Cerminara | Mara Romero Borella,e872e9a9a902c045 | 82cbb809d5ee565c,Katlyn Cerminara,win,Decision - Unanimous,3,5:00,Women's Flyweight,"{""rows"": [{""Fighter"": [""Katlyn Cerminara"", ""Mara Romero Borella""], ""KD"": [""0"", ""0""], ""Sig. str."": [""68 of 252"", ""79 of 211""], ""Sig. str. %"": [""26%"", ""37%""], ""Total str."": [""71 of 257"", ""80 of 214""], ""Td"": [""0 of 1"", ""1 of 3""], ""Td %"": [""0%"", ""33%""], ""Sub. att"": [""1"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:00"", ""0:35""]}], ""fighters"": [""Katlyn Cerminara"", ""Mara Romero Borella""]}",Per round RD1 24 of 99 - 24% 34 of 70 - 48% RD2 23 of 70 - 32% 22 of 72 - 30% RD3 21 of 83 - 25% 23 of 69 - 33% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/5a096f2acb44c776,Randa Markos | Juliana Lima,4a57ebb14315b251 | 75a6a390fd5dca46,Randa Markos,win,Decision - Unanimous,3,5:00,Women's Strawweight,"{""rows"": [{""Fighter"": [""Randa Markos"", ""Juliana Lima""], ""KD"": [""0"", ""0""], ""Sig. str."": [""46 of 65"", ""18 of 37""], ""Sig. str. %"": [""70%"", ""48%""], ""Total str."": [""114 of 149"", ""34 of 56""], ""Td"": [""2 of 7"", ""1 of 2""], ""Td %"": [""28%"", ""50%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""1"", ""0""], ""Ctrl"": [""9:13"", ""3:10""]}], ""fighters"": [""Randa Markos"", ""Juliana Lima""]}",Per round RD1 22 of 25 - 88% 10 of 17 - 58% RD2 10 of 19 - 52% 3 of 10 - 30% RD3 14 of 21 - 66% 5 of 10 - 50% Landed Attempted
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,http://ufcstats.com/fight-details/6e65bec924996b5a,Justine Kish | Ji Yeon Kim,928ae2e5b5f7a9ec | a20f234df70f2182,Ji Yeon Kim,win,Decision - Split,3,5:00,Women's Flyweight,"{""rows"": [{""Fighter"": [""Justine Kish"", ""Ji Yeon Kim""], ""KD"": [""0"", ""0""], ""Sig. str."": [""96 of 203"", ""68 of 215""], ""Sig. str. %"": [""47%"", ""31%""], ""Total str."": [""96 of 203"", ""68 of 216""], ""Td"": [""0 of 0"", ""0 of 0""], ""Td %"": [""---"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:00"", ""0:00""]}], ""fighters"": [""Justine Kish"", ""Ji Yeon Kim""]}",Per round RD1 23 of 54 - 42% 14 of 50 - 28% RD2 31 of 61 - 50% 18 of 69 - 26% RD3 42 of 88 - 47% 36 of 96 - 37% Landed Attempted
